,jobid,machine,date,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare
0,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:14.320408,evolution,1,False,True,0.3,1.0,"{'0x0': 385, '0x1': 93, '0x2': 119, '0x3': 482, '0x4': 93, '0x5': 340, '0x6': 391, '0x7': 97}"
1,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774233,rescaling,1,False,True,0.3,1.0,"{'0x0': 440, '0x1': 79, '0x2': 50, '0x3': 522, '0x4': 53, '0x5': 366, '0x6': 462, '0x7': 28}"
2,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774319,evolution,2,False,True,0.3,1.0,"{'0x0': 213, '0x1': 246, '0x2': 320, '0x3': 290, '0x4': 176, '0x5': 193, '0x6': 236, '0x7': 326}"
3,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774348,rescaling,2,False,True,0.3,1.0,"{'0x0': 357, '0x1': 76, '0x2': 75, '0x3': 513, '0x4': 69, '0x5': 356, '0x6': 515, '0x7': 39}"
4,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774375,evolution,3,False,True,0.3,1.0,"{'0x0': 93, '0x1': 395, '0x2': 421, '0x3': 137, '0x4': 259, '0x5': 87, '0x6': 98, '0x7': 510}"
5,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774401,rescaling,3,False,True,0.3,1.0,"{'0x0': 273, '0x1': 87, '0x2': 70, '0x3': 587, '0x4': 88, '0x5': 314, '0x6': 532, '0x7': 49}"
6,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774427,evolution,4,False,True,0.3,1.0,"{'0x0': 90, '0x1': 402, '0x2': 397, '0x3': 125, '0x4': 277, '0x5': 76, '0x6': 85, '0x7': 548}"
7,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774452,rescaling,4,False,True,0.3,1.0,"{'0x0': 247, '0x1': 99, '0x2': 78, '0x3': 598, '0x4': 103, '0x5': 307, '0x6': 492, '0x7': 76}"
8,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774477,evolution,5,False,True,0.3,1.0,"{'0x0': 140, '0x1': 322, '0x2': 328, '0x3': 250, '0x4': 168, '0x5': 198, '0x6': 205, '0x7': 389}"
9,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774502,rescaling,5,False,True,0.3,1.0,"{'0x0': 210, '0x1': 119, '0x2': 94, '0x3': 588, '0x4': 166, '0x5': 244, '0x6': 500, '0x7': 79}"
10,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774526,evolution,6,False,True,0.3,1.0,"{'0x0': 207, '0x1': 161, '0x2': 183, '0x3': 505, '0x4': 95, '0x5': 296, '0x6': 318, '0x7': 235}"
11,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774551,rescaling,6,False,True,0.3,1.0,"{'0x0': 197, '0x1': 128, '0x2': 105, '0x3': 585, '0x4': 155, '0x5': 232, '0x6': 490, '0x7': 108}"
12,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774577,evolution,7,False,True,0.3,1.0,"{'0x0': 228, '0x1': 125, '0x2': 108, '0x3': 605, '0x4': 96, '0x5': 335, '0x6': 393, '0x7': 110}"
13,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774601,rescaling,7,False,True,0.3,1.0,"{'0x0': 183, '0x1': 144, '0x2': 86, '0x3': 564, '0x4': 190, '0x5': 219, '0x6': 509, '0x7': 105}"
14,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774633,evolution,8,False,True,0.3,1.0,"{'0x0': 173, '0x1': 179, '0x2': 200, '0x3': 554, '0x4': 152, '0x5': 279, '0x6': 328, '0x7': 135}"
15,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774659,rescaling,8,False,True,0.3,1.0,"{'0x0': 143, '0x1': 141, '0x2': 128, '0x3': 524, '0x4': 219, '0x5': 233, '0x6': 479, '0x7': 133}"
16,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774684,evolution,9,False,True,0.3,1.0,"{'0x0': 117, '0x1': 288, '0x2': 321, '0x3': 338, '0x4': 225, '0x5': 201, '0x6': 230, '0x7': 280}"
17,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774709,rescaling,9,False,True,0.3,1.0,"{'0x0': 112, '0x1': 138, '0x2': 126, '0x3': 514, '0x4': 251, '0x5': 211, '0x6': 508, '0x7': 140}"
18,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774734,evolution,10,False,True,0.3,1.0,"{'0x0': 146, '0x1': 366, '0x2': 389, '0x3': 223, '0x4': 243, '0x5': 99, '0x6': 154, '0x7': 380}"
19,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774758,rescaling,10,False,True,0.3,1.0,"{'0x0': 103, '0x1': 160, '0x2': 108, '0x3': 473, '0x4': 307, '0x5': 161, '0x6': 536, '0x7': 152}"
20,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774783,evolution,11,False,True,0.3,1.0,"{'0x0': 210, '0x1': 352, '0x2': 394, '0x3': 168, '0x4': 216, '0x5': 129, '0x6': 168, '0x7': 363}"
21,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774808,rescaling,11,False,True,0.3,1.0,"{'0x0': 105, '0x1': 127, '0x2': 122, '0x3': 561, '0x4': 287, '0x5': 156, '0x6': 487, '0x7': 155}"
22,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774832,evolution,12,False,True,0.3,1.0,"{'0x0': 326, '0x1': 280, '0x2': 273, '0x3': 229, '0x4': 139, '0x5': 220, '0x6': 225, '0x7': 308}"
23,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774866,rescaling,12,False,True,0.3,1.0,"{'0x0': 100, '0x1': 146, '0x2': 172, '0x3': 481, '0x4': 308, '0x5': 171, '0x6': 440, '0x7': 182}"
24,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774890,evolution,13,False,True,0.3,1.0,"{'0x0': 403, '0x1': 174, '0x2': 171, '0x3': 373, '0x4': 121, '0x5': 243, '0x6': 290, '0x7': 225}"
25,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774915,rescaling,13,False,True,0.3,1.0,"{'0x0': 138, '0x1': 139, '0x2': 175, '0x3': 520, '0x4': 339, '0x5': 135, '0x6': 381, '0x7': 173}"
26,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774940,evolution,14,False,True,0.3,1.0,"{'0x0': 361, '0x1': 165, '0x2': 135, '0x3': 456, '0x4': 181, '0x5': 244, '0x6': 315, '0x7': 143}"
27,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.774976,rescaling,14,False,True,0.3,1.0,"{'0x0': 138, '0x1': 148, '0x2': 177, '0x3': 470, '0x4': 384, '0x5': 146, '0x6': 364, '0x7': 173}"
28,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775019,evolution,15,False,True,0.3,1.0,"{'0x0': 278, '0x1': 251, '0x2': 183, '0x3': 408, '0x4': 249, '0x5': 233, '0x6': 227, '0x7': 171}"
29,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775044,rescaling,15,False,True,0.3,1.0,"{'0x0': 144, '0x1': 151, '0x2': 206, '0x3': 423, '0x4': 428, '0x5': 126, '0x6': 346, '0x7': 176}"
30,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775069,evolution,16,False,True,0.3,1.0,"{'0x0': 202, '0x1': 319, '0x2': 268, '0x3': 308, '0x4': 274, '0x5': 179, '0x6': 208, '0x7': 242}"
31,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775093,rescaling,16,False,True,0.3,1.0,"{'0x0': 135, '0x1': 151, '0x2': 177, '0x3': 440, '0x4': 444, '0x5': 157, '0x6': 307, '0x7': 189}"
32,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775118,evolution,17,False,True,0.3,1.0,"{'0x0': 195, '0x1': 399, '0x2': 292, '0x3': 203, '0x4': 276, '0x5': 160, '0x6': 174, '0x7': 301}"
33,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775143,rescaling,17,False,True,0.3,1.0,"{'0x0': 160, '0x1': 140, '0x2': 205, '0x3': 470, '0x4': 399, '0x5': 144, '0x6': 290, '0x7': 192}"
34,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775168,evolution,18,False,True,0.3,1.0,"{'0x0': 227, '0x1': 355, '0x2': 272, '0x3': 183, '0x4': 236, '0x5': 219, '0x6': 197, '0x7': 311}"
35,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775192,rescaling,18,False,True,0.3,1.0,"{'0x0': 166, '0x1': 160, '0x2': 225, '0x3': 421, '0x4': 433, '0x5': 146, '0x6': 260, '0x7': 189}"
36,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775217,evolution,19,False,True,0.3,1.0,"{'0x0': 284, '0x1': 282, '0x2': 234, '0x3': 220, '0x4': 194, '0x5': 305, '0x6': 258, '0x7': 223}"
37,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775241,rescaling,19,False,True,0.3,1.0,"{'0x0': 166, '0x1': 171, '0x2': 264, '0x3': 420, '0x4': 420, '0x5': 166, '0x6': 212, '0x7': 181}"
38,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775284,evolution,20,False,True,0.3,1.0,"{'0x0': 364, '0x1': 174, '0x2': 191, '0x3': 277, '0x4': 196, '0x5': 330, '0x6': 278, '0x7': 190}"
39,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775309,rescaling,20,False,True,0.3,1.0,"{'0x0': 165, '0x1': 223, '0x2': 244, '0x3': 372, '0x4': 417, '0x5': 158, '0x6': 218, '0x7': 203}"
40,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775333,evolution,21,False,True,0.3,1.0,"{'0x0': 1909, '0x10': 17, '0x18': 1, '0x20': 20, '0x28': 1, '0x8': 52}"
41,63b4a7bbe9c45ab44a611871,ibm_nairobi,2023-01-04 08:10:38.775384,rescaling,21,False,True,0.3,1.0,"{'0x10': 1, '0x18': 76, '0x20': 4, '0x28': 107, '0x30': 63, '0x38': 1746, '0x8': 3}"
